Szerző:,Cím:,Abstract:,Kezwords-Szerző:,Keywords-GPT:,Évfolyam:
Fodor Lehel,Visualization of geometric equilibrium points,"Abstract
In a two-person game the purpose of both players is obviously to win the game by
following the game’s rules and regulations. Therefore, both of the players resorts to the
strategy that results their the gratest benefit. However, there are games, when if one of
the players applies their strategy, it also benefits the other, which is obviously unfavorable
for the first mentioned player. For this reason, both players must determine the relative
frequency of using their available strategies to maximize their chances for the victory.
This problem is answered by the Nash equilibrium point, named after the American
mathematician, John Forbes Nash. In two-person games, that set of strategy in which
neither of the players can increase their profit by changing their strategy, in case of their
opponent doesn’t change their strategy, is called Nash equilibrium point.
In my thesis the main purpose is to determine the equilibrium point mentioned
above, mathematically and also in programming point of view, using the prisoner’s
dilemma problem. Besides that I will cover the following topics as well: the introduction
of basic concepts of game theory, the prisoner’s dilemma, the presentation of applied
algorithm and the interpretation of the result. To compute this equilibrium point I apply
the Lemke-Howson algorithm. For the visualization of obtained equilibrium point I use
Python as programming language.
Also belong to the goals to introduce the reader to the world of game theory and
to help users with average mathematical and information technology skill to understand
the Nash equilibrium.","two-person game, strategy, John Forbes Nash, Nash equilibrium point,Lemke-Howson algorithm, visualization.","Nash equilibrium, Game theory, Strategy, Prisoner's dilemma, Algorithm, ",2023
Pallfy Roland,Decentralized messaging and data sharing,"Abstract
Decentralized messaging and data sharing have emerged as promising approaches to
address the challenges and limitations of centralized systems in the digital era. This paper
explores the concept of decentralization in the context of messaging and data sharing,
highlighting its advantages and potential implications.
The traditional approach to messaging and data sharing relies heavily on centralized
platforms, where users’ information is stored and controlled by a single entity. However,
this centralized model has inherent limitations, including privacy concerns, data breaches,
censorship, and dependency on a single point of failure. These issues have led to growing
interest in decentralized alternatives.
Decentralized messaging systems utilize peer-to-peer networks and distributed pro-
tocols to enable direct communication between users, eliminating the need for intermedi-
aries. This approach ensures greater privacy, as users have more control over their data
and can communicate directly without relying on a central server. Additionally, decen-
tralized messaging systems can resist censorship attempts, as there is no central authority
to regulate or control the flow of information.
Similarly, decentralized data sharing aims to democratize the access and control of
data. By leveraging blockchain technology and distributed storage systems, users can se-
curely share and store data without relying on centralized entities. This enables greater
transparency, data integrity, and resilience against attacks or data loss. Moreover, de-
centralized data sharing incentivizes collaboration and innovation, as participants can
contribute and access data in a trustless and permissionless environment.
While decentralized messaging and data sharing offer numerous benefits, they also
present challenges. The scalability of decentralized systems, the verification of data au-
thenticity, and the incentivization of participants are among the key areas that require
further research and development. Additionally, legal and regulatory frameworks need to
adapt to accommodate the decentralized nature of these systems, ensuring both privacy
protection and accountability.
The aim of this thesis is to present an application based on a decentralised system
and to introduce the reader to the technologies needed to build it.",,"Decentralization, Messaging, Data sharing, Blockchain technology, Privacy concerns, ",2023
Kovacs Bence,F1 Ticket Manager - Online ticket management,"Abstract
Currently, the rapid spread of online ticket purchasing can be observed due to tech-
nological advancements and the increased accessibility of the internet. Through an online
platform, people can now conveniently and quickly purchase tickets for various events
such as concerts, theater performances, or sports events like Formula 1.
Online ticket purchasing comes with numerous advantages. Customers can easily
browse and choose from a wide range of ticket options. Online platforms provide detailed
information about events, including dates, venues, and descriptions. Additionally, online
ticket purchasing allows for ticket comparisons, price and type selections, which help
customers find the best options available.
Technological developments, such as secure online payment systems and electronic
tickets, have contributed to the widespread adoption of online ticket purchasing. Cus-
tomers can easily and safely make payments through online platforms (webshop) and
receive electronic tickets that can be presented on their mobile devices or in printable
form at the event. Online ticket purchasing simplifies event attendance, as customers no
longer have to wait in long queues at ticket counters.
The purpose of the F1 Ticket Manager application is to provide a ticket purchasing
platform for Formula 1 races. Additionally, I have implemented secure purchasing and
admission processes through two-step ticket authentication.",,"Online ticket purchasing, Technological advancements, Convenient, Electronic tickets, Formula 1, ",2023
Kovacs Lehel Levente,AlgoRythmics Universe: 3D Game Mechanics,"Abstract
With the rapid advancement of technology, numerous new possibilities have opened
up before us, fundamentally transforming our everyday lives. These changes have not
only affected communication and work but have also had an impact on entertainment
and learning.
Video games offer interactive entertainment, immersing their users in a world created
by another person. We can interact with events that we couldn’t even imagine a hundred
years ago because they seemed unrealistic to us. However, modern game development
technologies allow us to experience these in a virtual environment.
We are capable of simulating battles, constructing cities, piloting spaceships any-
where in the galaxy, or even observing the explosion of a planet. Movies or even entire
books can be adapted so that we can live through their stories interactively. The only
limit is human imagination.
Video games have not only created an entirely new and infinite world of enter-
tainment but also enable us to gamify education within the framework of schools and
universities. In every field, from finance to programming, we can find at least one game
aimed at the user’s development.
The main topic of my essay discusses the foundations of software that provide inter-
active entertainment on electronic devices. We have a multitude of software available to
buildandsellgameswithminimaltimeandfinancialinvestment.However,itisimportant
to understand the fundamental elements of game development, the rules of the game, in
other words, the game mechanics. These require technical considerations in order for our
software to successfully achieve its intended goal.","Game Mechanics, Unity, Game Design, Gameplay, 3D","Technology advancement, Video games, Entertainment, Learning, Game development, ",2023
Pall Arnold Barna,EventsApp,"Abstract
In today’s fast-paced world, more and more things are happening around us, and
because of this, the number of events is only increasing, so it is more difficult to follow
them day by day. Many apps have event tracking features, one of the biggest and perhaps
the most well-known is Facebook, but there the emphasis is more on interaction between
people, so the functionality of event tracker may not be the best. In our country, the use
of applications designed for similar purposes may not be as widespread as in foreign coun-
tries, but it can be challenging to find an application that can satisfy all the expectations
of the user.
Thepurposeofeventtrackingapplicationsistobeabletotrackyourpreferredevents
based on time, location and other important information such as description.
In my thesis I create an application of this type, which we can access with the help of
ourphone.Nowadays,almosteveryonehasasmartmobilethatisalwayswithuswherever
we go. Based on this, such an application can only help in the everyday fast-paced world.
The objective of my project is to create an iOS application that can help us follow
ourpreferredevents,getinformationaboutthegivenevents,andcanalsohelpusplanour
participation. The application uses Swift programming language, SwiftUI framework for
creating user interfaces, and Firebase development platform for database management.","event, event tracking, obtaining information, planning, Swift, SwiftUI, Fire-base, database.","Event tracking, Application, User interface, iOS, Firebase, ",2023
Komuves David Mark,Web platform for generating and managing tax invoices,"Abstract
Today, the number of private entrepreneurs and businesses is growing. The idea of
running a business has become more normalised, it no longer seems that only someone of
the calibre of Steve Jobs or Bill Gates can run a company, so more and more young people
are trying and more new businesses are being born. However, the optimal functioning of
a modern business requires the right tools to help monitor certain behaviours, create
a successful client-provider communication interface, help manage the resources of the
business, or even shorten the time taken up by paperwork.
The aim of my thesis is to find a simple, fast and attractive solution for the latter of
these, more specifically for the generation and storage of tax invoices. The application I
have created aims to be a guaranteed solution for businesses and entrepreneurs that sell
services or products and need to generate invoice statements.
The application can be made highly accessible thanks to its web-based format. I have
created an easy-to-use schema for editing and saving invoices. The application also leaves
room for users who do not wish to log in, but for users with an account, it provides an
archive that helps not only to visualise the already created invoices, but also to highlight
them statistically.
The interface data is stored in a MongoDB database, which is managed by a Node.js
based REST API using Express.js and Mongoose libraries - I would call this the backend
oftheproject.ThefrontendpartoftheprojectwasimplementedusingVue.js3JavaScript
framework.","tax invoice generation and management, web interface, REST API,MongoDB, Node and Vue","Private entrepreneurs, Business growth, Generation of tax invoices, Client-provider communication, Business management, ",2023
Matyus Borka Erzsebet,Visualizing furnishings in 3D room within a mobile application,"Abstract
Online shopping is thriving in today’s world. Customers strive to choose convenient
solutions for furnishing their homes, and the first step is purchasing furniture. In recent
years, online shopping has gained a significant advantage over in-person shopping with
physical contact. To achieve this, there are numerous options available to interested indi-
viduals, ranging from online stores published on websites to ordering via phone calls and
specifically developed mobile applications.
Taking these aspects into account, I have chosen a theme for my project that aligns
with current trends while also incorporating innovative technologies to enhance the user
experience. My project implements an online furniture store within an Android applica-
tion. The app provides a convenient and user-friendly interface for both the seller, who
fulfills the role of an administrator, and the buyer, who acts as a user.
From a design perspective, the user interface is clean, easily understandable, and
manageable for everyone, while also offering all the necessary functions for a seamless
shopping experience. Users can create their own accounts, allowing them to browse the
application at their leisure, favorite products for future reference, and complete the pur-
chase process.
Perhaps the only drawback of online shopping is the difficulty in physically observing
the products due to the absence of physical presence. While physical shopping allows us
to use all our senses to select and examine items from every angle, touch them, and rotate
them, online shops generally do not offer solutions to these issues.
In my project, I have endeavored to overcome this drawback by implementing a
virtual room feature that allows buyers to not only view images and read descriptions of
desired products but also observe them in 3D, rotate them, and place them proportionally
within a room. This functionality enhances the shopping experience and reduces the risk
of returns by offering customers the opportunity for more thorough observation.",,"Online shopping, Furniture, User experience, Mobile application, Virtual room, ",2023
Nyitrai Orsolya Eva,Automated baccalaureate exam result gatherer and visualizer system,"Abstract
My thesis topic is implementing an automated system that aims to collect, clean,
and visualize the baccalaureate exam results of Romanian students for the end users.
The baccalaureate exam results are of paramount importance not only for students
and teachers but also for educational institutions alike. These data greatly influence
the future possibilities of students, whether it’s about career opportunities or further
education, and they also reflect the quality of education in schools. Visualizing these
results provides an opportunity for effective evaluation of education since parents and
teachers can gain a comprehensive understanding of students’ knowledge and progress
based on the data. This can help improve the learning process and the development of
teaching programs.
In my thesis, I aimed to provide a user-friendly interface to the target audience,
which can efficiently and quickly process the given data set. I felt the need to develop
such a system because the current options for reviewing the data are limited, mostly
relying on time-consuming and manual processes, which often lead to errors or delays.
Additionally, I paid special attention to the quality of the data to ensure its consistency
and normalization for future use.
The user interface was implemented using the Next.js framework, with the assistance
of D3 and the related Recharts data visualization tools for creating visualizations.
The server-side application was built with the Nest.js framework, utilizing the Type-
Script language, and it is responsible for managing and serving the data.
The foundation of the architecture consists of the scraper and cleaning systems. The
web scraper was developed in GoLang, which is suitable for the efficient handling and
processing of large data sets. For data cleaning and pre-processing, I used the Python
language, specifically the Pandas library, which is a popular data manipulation tool. Ad-
ditionally, I worked with various other libraries and technologies, which will be discussed
in more detail later on.
The main goal in selecting the aforementioned technologies was not only to enable
easy and fast access to the data, more accurate inference drawing, and better understand-
ing of the result for everyone but also to ensure that the system is future-proof and allows
further development.",,"Automated system, Baccalaureate exam results, Data visualization, Educational institutions, User interface, ",2023
Tovisi Zoltan,SkinnyB: Calorie tracker application,"Abstract
The aim of my thesis was to create a calorie tracking application. I implemented
it using Java Spring Boot and React technologies, with a PostgreSQL database. The
application allows users to track their calorie intake and the activities that burn calo-
ries, as well as their water intake and sleep duration, as these are also important aspects
of a healthy lifestyle and weight loss. My application features a simple and user-friendly
interface to facilitate users in logging their daily calorie intake, activities, water consump-
tion, and sleep. The application enables users to easily add their meals and beverages
by providing the name, quantity, or calorie content. Users also have the option to record
their activities, including the name, duration, and calories burned. The application auto-
matically calculates the user’s daily maximum calorie intake based on the data provided
during registration through a form. In my thesis, I will present the implementation of the
design and development stages of the application. I will discuss the usage of Java Spring
Boot and React frameworks, as well as the configuration of the PostgreSQL database.
The created calorie tracking application can be a useful tool for those who want to lose
weight and track their daily calorie intake and activities to maintain a healthy lifestyle
and achieve their weight loss goals.","calories, logging, weight loss, healthy lifestyle.","Calorie tracking application, Java Spring Boot, React technologies, PostgreSQL database, Healthy lifestyle, ",2023
Reszeg Alpar,The role of gameplay and rule system in 2D games,"Abstract
The aim of my thesis is to provide a detailed examination of the process involved in
designing the rule system and gameplay of 2D games, starting from the initial concept
proposal, through implementation, game testing, and error fixing. I apply this analysis
practically by developing my own educational game.
In this thesis, I focus on exploring the design paradigms defined in the literature
and investigating their practical application. Additionally, I identify areas where further
collective improvement is needed. My goal is to understand how these paradigms can be
applied in game design practice and how they contribute to enhancing the overall gaming
experience.
I present a detailed overview of the technologies I utilize in the development and
testing of the game. Subsequently, I provide an overview of the implemented software,
including the rule system, gameplay mechanics, and graphical representation. Moreover,
I assess the limitations of the current program and propose suggestions for further devel-
opment opportunities.
As a result of this thesis, I offer a comprehensive understanding of the process of
designing and developing 2D games, which can assist game developers and designers in
effectively creating rule systems and gameplay mechanics. Furthermore, I identify areas
that require further research and advancement in the field of game design.","2D games, rule system, gameplay, design paradigms, educational game,game development, graphical representation, game design, development process.","Game design, Rule system, Gameplay mechanics, Educational game, Technology utilization, ",2023
Kacso Robert,Path Planner: Urban route planner app for public transport optimization,"Abstract
Urban public transportation is an essential part of our daily lives, but we often face
challenges and problems during route planning. The growth of cities and the increasing
mobility of the population raise issues such as traffic congestion, long travel times, and
discomfort. Planning and optimizing routes are crucial for ensuring efficient and sustain-
able urban transportation.
The Path Planner application offers a solution to these challenges. Its purpose is to
assist users in efficiently planning and optimizing urban routes, whether it’s bus routes
or bike paths. Users have the ability to simply input their starting and destination points
and choose from available transportation options.
The application displays the routes on a map, making them easy to follow and
visualize.Whatsetsthisappapartisthatuserscanactivelyparticipateinrouteplanning.
They have the ability to make recommendations for new bus routes or bike paths, which
are then processed by the application.
Theapplicationfeaturesauser-friendlyinterfacethatallowsforintuitiveandefficient
usage. With the help of optimized routes, users can save time, energy, and money while
contributing to the development of a more sustainable urban transportation system.","urban public transportation, route planning, clustering.","urban transportation, route planning, optimization, Path Planner application, sustainability",2023
Gal Attila,Zoo - Navigation,"Abstract
The theme of my bachelor’s thesis is the development of a mobile application which
enables the user to easily navigate and buy tickets online. Nowadays everybody is in a
hurry, thus it is important to start and arrive on time. Navigation mobile apps are very
helpful in this regard, because they determine the most suitable route to our destination.
The proposed mobile application helps the user navigate on the territory of the Târgu
MuresZoo.Furthermore,itsolvestheproblemofstandinginlinefortickets.Userscanbuy
,
tickets in advance with the help of the app. This solution will save them time and energy.
The navigation function will make visiting easier and more efficient. With the help of the
interactive map, users can find the sights that are interesting to them. Consequently, they
can get exactly where they want to be. The combination of the navigation and online
ticket buying functions offers a more efficient and pleasant experience to the visitors.",,"Mobile application development, Navigation, Ticket purchase online, Târgu Mures Zoo, User experience, ",2023
Tanko Tamas,Examining social phenomena in a real company’s email communication network,"Abstract
The topic of my paper is the examination of social phenomena in a real company’s
email communication network, where I compare the execution times of algorithms applied
to different graphs. Through these operations, I connect social phenomena with computer
algorithms and graph theory. In a favorable scenario, I did not work with fictional ele-
ments, but used the real email communication database of the ENRON company. In
the research, I also conducted data mining to exclusively examine internal relationships
within the company, thereby reducing the number of nodes used in the graph.
During my interdisciplinary research, I utilized various graph-theoretical algorithms
such as depth-first search and the Girvan-Newman method.
The real database provides the opportunity to examine the dynamics of the network,
allowing us to track the formation of connections, which can be visualized as well.",,"Social phenomena, Email communication network, Algorithms, Graph theory, Data mining, ",2023
Kocsis Lorand,Flexible work program follower,"Abstract
Thetopicofmythesisismonitoringflexibleworkschedules,whichprovidesasolution
to the challenges encountered when a workplace adopts a flexible work program and
tracking employees’ entries and exits becomes a complex task, especially when remote
workisallowed,whichisbecomingincreasinglycommon,particularlyforofficejobs.There
are two main reasons why solving this problem is necessary: the company can track the
number of hours worked by employees per day and comply with the monthly requirement
of submitting attendance sheets to the state.
The aim of my project is to offer a relatively simple solution for monitoring em-
ployees’ working hours and recording their breaks, as well as meeting legal requirements.
Employees can register their entry and exit from the system with a single button press.
Additionally, the system provides the capability to generate attendance sheet documents
for predetermined periods or time intervals, for accounting purposes. Such corporate is-
sues are addressed by Enterprise Resource Planning (ERP) systems, so I have developed
a module in the paper that communicates with a database and a website that interacts
with this system.",,"Flexible work schedules, Monitoring, Remote work, Attendance tracking, Enterprise Resource Planning (ERP), ",2023
Simon Csaba,SmartCalendar Notification App,"Abstract
MythesisisaboutanapplicationcalledSmartCalendar,thatallowspeopletomanage
their time more efficiently and plan their daily life better. The app helps them anticipate
and manage events so they don’t miss important appointments or commitments. It also
helps you avoid chaos caused by unexpected events, because by managing your time,
there will be fewer surprises and less stress. SmartCalendar not only helps you manage
your time, it also manages your appointments as a service provider. It allows businesses to
easily and automatically notify their customers of scheduled services. This means signifi-
cant ease and efficiency for service providers, as clients receive timely notifications so they
don’t forget or miss appointments. The app is designed to provide access to scheduling
and customer notification functionality for any business, regardless of size or form. This
means that even small service providers who could not previously afford to develop such
an application can use it. SmartCalendar therefore provides an opportunity to ensure
that customers are informed in a timely manner and do not forget scheduled services.
The paper describes in detail how the application works and how it provides customer
notification. It also shows how the application can make this functionality available to
users free of charge. SmartCalendar opens up new opportunities for more efficient time
management and the development of small businesses.",,"SmartCalendar, Time management, Customer notification, Service providers, Efficiency, ",2023
